                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.375,                 2.3115,                  1.448,                 0.2337,                0.65541,                0.23084,                0.15682,                0.88381,                 2.4468,                0.77452,             0.00066552,             0.00066552,             0.00066552
                      1,                 1.1026,                 1.4429,                 1.2024,                0.24086,                0.57235,                0.23659,                0.17505,                 1.0207,                 2.5159,                0.84492,              0.0012662,              0.0012662,              0.0012662
                      2,                 1.0017,                 1.2614,                 1.1467,                0.27314,                0.70257,                0.27453,                0.23168,                0.61902,                 2.9503,                0.59476,               0.001801,               0.001801,               0.001801
                      3,                0.89248,                 1.1416,                 1.0958,                0.27154,                 0.7673,                0.27648,                0.23478,                0.56508,                  2.271,                0.55079,               0.001703,               0.001703,               0.001703
                      4,                0.82386,                 1.0659,                 1.0633,                0.27291,                0.73205,                0.27906,                0.26079,                0.44979,                 1.8917,                0.46097,               0.001703,               0.001703,               0.001703
                      5,                0.75568,                0.99027,                 1.0355,                0.27118,                0.80011,                0.28275,                 0.2626,                0.41001,                 2.1845,                0.43591,               0.001604,               0.001604,               0.001604
                      6,                0.72147,                0.96002,                 1.0234,                0.28386,                0.93125,                0.29116,                0.26348,                0.35875,                 2.1543,                0.40921,               0.001505,               0.001505,               0.001505
                      7,                0.68278,                0.92763,                 1.0131,                0.28854,                  0.806,                0.29157,                0.28561,                0.21793,                 2.4739,                0.35311,               0.001406,               0.001406,               0.001406
                      8,                0.65785,                0.89376,                0.99988,                0.29173,                0.88977,                0.29587,                0.28562,                0.35207,                 2.3036,                 0.3866,               0.001307,               0.001307,               0.001307
                      9,                0.63068,                0.86848,                0.99301,                0.27577,                0.88785,                0.28265,                0.27811,                0.30091,                 1.9241,                0.36857,               0.001208,               0.001208,               0.001208
                     10,                0.49419,                 0.7929,                0.97782,                0.27995,                0.85959,                0.29708,                0.29659,                0.15493,                 2.2153,                 0.3115,               0.001109,               0.001109,               0.001109
                     11,                0.43545,                0.73551,                0.95205,                0.28359,                0.91939,                0.28561,                0.28533,                0.11921,                 2.5118,                0.29498,                0.00101,                0.00101,                0.00101
                     12,                0.42035,                0.70806,                0.94177,                0.29094,                0.91318,                0.29267,                0.29265,                 0.1657,                 2.5373,                 0.2971,               0.000911,               0.000911,               0.000911
                     13,                0.40231,                0.68105,                0.93435,                0.29066,                0.94266,                 0.2926,                0.29258,                0.11373,                 1.9473,                0.28515,               0.000812,               0.000812,               0.000812
                     14,                0.39163,                0.67076,                0.93577,                 0.2913,                0.96677,                0.29607,                0.29607,                0.12366,                 2.0894,                0.28643,               0.000713,               0.000713,               0.000713
                     15,                0.37784,                 0.6503,                0.92927,                0.29112,                0.96624,                0.29427,                0.29425,                0.12111,                 2.1218,                0.28631,               0.000614,               0.000614,               0.000614
                     16,                0.37362,                0.64123,                0.92979,                0.28667,                0.96679,                0.28911,                0.28911,                0.11494,                 2.2163,                0.28159,               0.000515,               0.000515,               0.000515
                     17,                0.34832,                0.61717,                0.91582,                0.29106,                0.97642,                0.29452,                0.29451,                0.08255,                 2.1822,                0.27586,               0.000416,               0.000416,               0.000416
                     18,                0.33672,                 0.6103,                 0.9147,                0.29221,                0.98446,                0.29627,                0.29626,                 0.0892,                  2.234,                0.27227,               0.000317,               0.000317,               0.000317
                     19,                0.32283,                 0.5944,                 0.9086,                 0.2899,                0.98285,                0.29503,                0.29503,                0.08506,                 2.1581,                0.27227,               0.000218,               0.000218,               0.000218
